#,Item No.,Item Description,Base Price List,Factor,Primary Currency - Base Price (currency),Primary Currency - Base Price,Primary Currency - Price (currency),Primary Currency - Price,Primary Currency - Manual,Inventory UoM,Pricing Unit,Final Price,INR,USD,EURO
109,203803T52,Spo2 Extension Cable (Nellcor DEC8),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
110,203803T62,Disposable sensor-(Velcro Type)-Nellcor Oximax,Purchase Price List,1,INR,120,INR,120,N,Manual,Manual,120,1,85.56,92.52
111,203803T63,Disposable sensor  Masimo,Purchase Price List,1,INR,800,INR,800,N,Manual,Manual,800,1,85.56,92.52
112,203803T64,SPO2 Extension Cable,Purchase Price List,1,INR,378.33,INR,378.33,N,Manual,Manual,378.33,1,85.56,92.52
113,203803T6A,Disposable Sensor - GE,Purchase Price List,1,USD,1.8,USD,1.8,N,Manual,Manual,154.008,1,85.56,92.52
114,203803T75,SpO2 Adult Probe 3.0M -GE B20/30,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
115,203803T76,SpO2 Adult Probe 3.0M - Nellcor N550 - L&T Planet 50N(Blue),Purchase Price List,1,INR,764.4,INR,764.4,N,Manual,Manual,764.4,1,85.56,92.52
116,203803T77,SpO2 Neonatal Probe 3.0M - Nellcor N550 - L&T Planet 50N(Blue),Purchase Price List,1,INR,767.13,INR,767.13,N,Manual,Manual,767.13,1,85.56,92.52
117,203803T79,SPO2 Pulse Oximeter Neonatal Probe 3.0m,Purchase Price List,1,INR,900,INR,900,N,Manual,Manual,900,1,85.56,92.52
118,203803T80,SPO2 Pulse Oximeter Adult Probe 3.0m,Purchase Price List,1,INR,1722.78,INR,1722.78,N,Manual,Manual,1722.78,1,85.56,92.52
119,203803T81,SPO2 Extension cable,Purchase Price List,1,INR,750,INR,750,N,Manual,Manual,750,1,85.56,92.52
120,203803T82,SPO2 Extension cable(Masimo LNCS),Purchase Price List,1,INR,1250,INR,1250,N,Manual,Manual,1250,1,85.56,92.52
121,203803T83,SPO2 Pulse Oximeter Adult Clip Probe 3.0m(Masimo LNCS),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
122,203803T84,SPO2 Pulse Oximeter Neonatal Wrap Probe 3.0m(MAsimoLNCS),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
123,203803T85,SPO2 Pulse Oximeter Adult Probe 3.0m,Purchase Price List,1,INR,550,INR,550,N,Manual,Manual,550,1,85.56,92.52
124,203803T86,SPO2 Pediatric clip Probe 3.0m,Purchase Price List,1,INR,650,INR,650,N,Manual,Manual,650,1,85.56,92.52
125,203803T8O,SPO2 Pulse Oximeter Y Probe 0.9 Mtr (NELLCOR OXIMAX),Purchase Price List,1,INR,3200,INR,3200,N,Manual,Manual,3200,1,85.56,92.52
126,203803T91,Multigain Cable - Dagger Vista Monitor,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
127,203803T92,SPO2 Extension cable-CHOICE MED,Purchase Price List,1,INR,800,INR,800,N,Manual,Manual,800,1,85.56,92.52
128,203803T93,ECG TRUNK CABLE FOR 5 LEAD,Purchase Price List,1,INR,900,INR,900,N,Manual,Manual,900,1,85.56,92.52
129,203803T94,FINGER TIP PULSE OXIMETER,Purchase Price List,1,INR,600,INR,600,N,Manual,Manual,600,1,85.56,92.52
130,203803T95,Disposable SpO2 Sensor-Biolight,Purchase Price List,1,INR,150,INR,150,N,Manual,Manual,150,1,85.56,92.52
131,203803T96,SPO2 Extension Cable -GE Trustat,Purchase Price List,1,INR,650,INR,650,N,Manual,Manual,650,1,85.56,92.52
